pmid,doi,conclusion,result,abstract,mesh
41625601,10.1177/24730114251412848,"This is the largest case series to date, demonstrating significant pain improvement and high return-to-work rates in complex cases, but also a 58% overall complication rate and 10% graft failure. Allograft reconstruction may be effective when few options exist, yet careful patient selection and awareness of technical challenges are essential.Level of Evidence: Level IV, case series.","Visual analog scale (VAS) pain score was significantly lower postoperatively (4.0 +/- 2.7 vs 2.4 +/- 2.8, P = .0018) in the 54 patients with VAS pain data. A total of 40 (58%) feet had at least 1 complication. The most common complications were sural neuralgia in 18 (26%) feet and allograft failure in 7 (10%) feet. Fifteen feet (21%) required reoperation, including 7 for graft failure. In the 30 feet with prior peroneal tendon surgery, there was no association between prior surgery and complications (P = .21). Of the 24 (35%) patients available for phone survey, 20 (83%) were employed prior to surgery and 18 (90%) of these employed patients returned to work and 14 (58%) did not use an assistive device at final follow-up. Sixteen (67%) of the 24 patients contacted reported being very satisfied or satisfied with the procedure.","BACKGROUND: Clinical data are limited for allograft reconstruction of peroneus brevis tears, and its complication profile remains poorly defined. METHODS: Retrospective chart review was conducted for patients with peroneus brevis tears who underwent tendon reconstruction with semitendinosus allograft at a single tertiary center between March 2010 and July 2019. A total of 68 patients (69 feet), 24 men and 44 women, were identified with mean age at surgery 51.8 (range, 23-74) years and mean follow-up 20.2 (range, 3.4-71.4) months. At the time of chart review, patients were contacted by phone to assess satisfaction, brace use, and work status. RESULTS: Visual analog scale (VAS) pain score was significantly lower postoperatively (4.0 +/- 2.7 vs 2.4 +/- 2.8, P = .0018) in the 54 patients with VAS pain data. A total of 40 (58%) feet had at least 1 complication. The most common complications were sural neuralgia in 18 (26%) feet and allograft failure in 7 (10%) feet. Fifteen feet (21%) required reoperation, including 7 for graft failure. In the 30 feet with prior peroneal tendon surgery, there was no association between prior surgery and complications (P = .21). Of the 24 (35%) patients available for phone survey, 20 (83%) were employed prior to surgery and 18 (90%) of these employed patients returned to work and 14 (58%) did not use an assistive device at final follow-up. Sixteen (67%) of the 24 patients contacted reported being very satisfied or satisfied with the procedure. CONCLUSION: This is the largest case series to date, demonstrating significant pain improvement and high return-to-work rates in complex cases, but also a 58% overall complication rate and 10% graft failure. Allograft reconstruction may be effective when few options exist, yet careful patient selection and awareness of technical challenges are essential.Level of Evidence: Level IV, case series.",
41625599,10.1080/21642850.2026.2622164,"The results uncover substantial inadequacies in obstetric and gynaecological care in Quebec. To optimize patient-healthcare provider interactions and better meet patient needs, there must be greater respect for patients' rights.","Generally, patient-healthcare provider interactions were perceived positively, but some significant shortcomings were revealed in terms of unmet needs for shared decision-making and disrespected rights. Although patients were relatively satisfied with their care, there was considerable distrust in the healthcare system. Meeting needs in terms of shared decision-making and respecting rights were associated with overall satisfaction and trust in the healthcare system.","BACKGROUND AND OBJECTIVES: Obstetric and gynaecological care profoundly affects individuals' health and well-being. However, many international studies reveal negative and even dehumanizing experiences of this type of healthcare. This study documents recent experiences of obstetric and gynaecological care in Quebec. We examine patient-healthcare provider interactions, respect for patient rights, whether patient needs are met, and how these factors impact satisfaction with the treatment provided and trust in the healthcare system. METHODS: The PAROLES project is based on a self-report questionnaire posted online from July 2023 to January 2024. The sample comprises 1490 respondents who reported 1599 recent experiences of obstetric and gynaecological care. Descriptive analyses and linear regressions were performed. RESULTS: Generally, patient-healthcare provider interactions were perceived positively, but some significant shortcomings were revealed in terms of unmet needs for shared decision-making and disrespected rights. Although patients were relatively satisfied with their care, there was considerable distrust in the healthcare system. Meeting needs in terms of shared decision-making and respecting rights were associated with overall satisfaction and trust in the healthcare system. CONCLUSION: The results uncover substantial inadequacies in obstetric and gynaecological care in Quebec. To optimize patient-healthcare provider interactions and better meet patient needs, there must be greater respect for patients' rights.",
41625598,10.1016/j.bbrep.2026.102456,"This novel EMT signature offers excellent potential for predicting the prognosis, tumor immune heterogeneity, and therapeutic responses in breast cancer.","A risk score model and clinical parameters were used to establish a nomogram for predicting prognosis. The C-index (0.719), calibration curves, and model comparison with four previous studies demonstrated the reliability of the EMT signature, the biological phenotypes of which were tested for functional enrichment, immune infiltration, and tumor mutation. Additionally, patients' responses to immunotherapy and chemotherapy were assessed. Our results showed that the low-risk group had higher immune infiltration, tumor mutational burden, microsatellite instability levels, immune checkpoint inhibitor expression, tumor immune dysfunction and exclusion scores, and immunophenoscore, which could predict patient sensitivity to immunotherapy. Moreover, low-risk patients exhibit better sensitivity to chemotherapy.","BACKGROUND: Accumulating evidence has revealed that epithelial-mesenchymal transition (EMT) plays a crucial role in tumor progression and the immune microenvironment, which further results in a high rate of recurrence and metastasis. The EMT immune signaling pathway provides a great perspective for designing personalized therapies. METHODS: In this study, 1223 RNA-seq samples were obtained from the TCGA-BRCA dataset. A total of 381 EMT-related differentially expressed genes were analyzed and combined with clinical parameters, and the matrix was randomly divided into training and testing cohorts at a ratio of 7:3. The training cohort was used to develop an EMT signature, including GKN2, FZD2, NDRG2, SCUBE2, ALX4, CCL19, SDC1, EZR, CPEB1, and HRG genes, and the accuracy of this signature was validated by testing and GSE158309 cohorts. RESULTS: A risk score model and clinical parameters were used to establish a nomogram for predicting prognosis. The C-index (0.719), calibration curves, and model comparison with four previous studies demonstrated the reliability of the EMT signature, the biological phenotypes of which were tested for functional enrichment, immune infiltration, and tumor mutation. Additionally, patients' responses to immunotherapy and chemotherapy were assessed. Our results showed that the low-risk group had higher immune infiltration, tumor mutational burden, microsatellite instability levels, immune checkpoint inhibitor expression, tumor immune dysfunction and exclusion scores, and immunophenoscore, which could predict patient sensitivity to immunotherapy. Moreover, low-risk patients exhibit better sensitivity to chemotherapy. CONCLUSION: This novel EMT signature offers excellent potential for predicting the prognosis, tumor immune heterogeneity, and therapeutic responses in breast cancer.",
41625563,10.1016/j.ijregi.2026.100841,"Deworming uptake in Somalia is critically low and shaped by socioeconomic and regional inequities, underscoring the need to improve antenatal care access and drug supply.","National deworming coverage during pregnancy was 4.09%, among the lowest in sub-Saharan Africa. Uptake was significantly associated with antenatal care attendance (adjusted odds ratio [AOR] = 0.49), iron supplementation (AOR = 0.16), wealth (AOR = 1.81 among the richest), parity (AOR = 1.73), and maternal education (AOR = 1.72 for higher education). Marked geographic disparities were observed, with substantially higher odds in Lower Juba (AOR = 11.48), Bakool (AOR = 8.32), and Bay (AOR = 5.50) relative to Awdal. Nomadic women had increased odds of uptake (AOR = 6.01), while women in female-headed households were less likely to receive deworming (AOR = 0.86).","OBJECTIVES: Soil-transmitted helminth (STH) infections remain widespread in Somalia, yet national evidence on deworming uptake during pregnancy is scarce. This study exams determinants and regional inequalities in pregnancy deworming uptake in Somalia: findings from the 2020 Somalia demographic and health survey (SDHS). METHODS: This study analyzed data from 14,419 women in the 2020 SDHS. Weighted descriptive statistics, bivariate analyses, and multivariate logistic regression were applied to identify determinants of deworming drug use. All analyses accounted for survey clustering, stratification, and sampling weights. RESULTS: National deworming coverage during pregnancy was 4.09%, among the lowest in sub-Saharan Africa. Uptake was significantly associated with antenatal care attendance (adjusted odds ratio [AOR] = 0.49), iron supplementation (AOR = 0.16), wealth (AOR = 1.81 among the richest), parity (AOR = 1.73), and maternal education (AOR = 1.72 for higher education). Marked geographic disparities were observed, with substantially higher odds in Lower Juba (AOR = 11.48), Bakool (AOR = 8.32), and Bay (AOR = 5.50) relative to Awdal. Nomadic women had increased odds of uptake (AOR = 6.01), while women in female-headed households were less likely to receive deworming (AOR = 0.86). CONCLUSIONS: Deworming uptake in Somalia is critically low and shaped by socioeconomic and regional inequities, underscoring the need to improve antenatal care access and drug supply.",
41625562,10.1016/j.ijregi.2026.100838,"Children, especially those younger than 5, experienced high Mpox infection, often linked to household and school exposure. Care-seeking beyond 7 days increased disease severity. Interventions promoting early detection and timely care in households and schools could reduce Mpox-related morbidity and mortality in children and adolescents.","Among 160 case-patients, males (attack rate [AR] = 2.2/100,000) and females (AR = 2.1/100,000) were equally affected. Children <5 years had the highest AR (3.7/100,000). Household (50%) and school (36%) exposures were most common. Overall, Mpox severity was 91% (adjusted prevalence ratio [aPR], 95% confidence interval: 87-96%). Care-seeking after 7 days from symptom onset was associated with higher severity (aPR: 1.1, 95% confidence interval: 1.03-1.3). Case fatality was 1.9%.","OBJECTIVES: Recent Mpox outbreaks in Uganda have primarily affected adults, but children and adolescents are at a higher risk of severe disease. We described the epidemiology, severity, and factors associated with severe Mpox among children and adolescents in Uganda during August 2024-January 2025. METHODS: We conducted a cross-sectional study among polymerase chain reaction-confirmed Mpox cases in patients aged 0-17 years in eight high-burden districts. Medical records were reviewed, and Mpox severity was measured using the severity scoring system. Participants' variables were summarized using descriptive statistics and attack rates. Modified Poisson regression identified factors associated with severe disease. RESULTS: Among 160 case-patients, males (attack rate [AR] = 2.2/100,000) and females (AR = 2.1/100,000) were equally affected. Children <5 years had the highest AR (3.7/100,000). Household (50%) and school (36%) exposures were most common. Overall, Mpox severity was 91% (adjusted prevalence ratio [aPR], 95% confidence interval: 87-96%). Care-seeking after 7 days from symptom onset was associated with higher severity (aPR: 1.1, 95% confidence interval: 1.03-1.3). Case fatality was 1.9%. CONCLUSIONS: Children, especially those younger than 5, experienced high Mpox infection, often linked to household and school exposure. Care-seeking beyond 7 days increased disease severity. Interventions promoting early detection and timely care in households and schools could reduce Mpox-related morbidity and mortality in children and adolescents.",
41625559,10.1016/j.metop.2026.100445,"Nutritional prophylaxis conclusively reduces MBDP incidence, while mechanical interventions effectively improve bone mineralization. Although no studies directly evaluated combined approaches, the complementary mechanisms of nutritional and mechanical interventions suggest that optimal prevention may involve integrating both strategies. Critical gaps persist in orthopedic management, necessitating future research on fracture protocols and surgical interventions.","Eighteen studies (1577 infants) from ten countries met inclusion criteria. Nutritional prophylaxis significantly reduced MBDP incidence by 54 % (risk ratio [RR] = 0.46, 95 % confidence interval [CI] 0.30-0.68, P-value<0.001), with early calcium/phosphorus supplementation achieving 74-84 % risk reduction. TSA confirmed conclusive evidence, with cumulative Z-score (-5.99) crossing the O'Brien-Fleming boundary at 270.9 % of required information size. Number needed to treat was five at 40 % baseline risk. Mechanical interventions improved bone mineral content by 28 % (P-value<0.01), quantitative ultrasound speed-of-sound (mean difference [MD] = 75.3 m/s, 95 % CI 45.2-105.4), and weight gain (MD = 5.11 g/kg/day, 95 % CI 3.95-6.27). Both interventions demonstrated favorable safety profiles, with mechanical protocols reporting no adverse events.","INTRODUCTION: Metabolic bone disease of prematurity (MBDP) affects up to 30 % of very low birth weight infants; however, evidence regarding prevention and treatment strategies remains limited. We aimed to evaluate the efficacy and safety of nutritional, mechanical, and pharmacological interventions for MBDP. METHODS: Following PRISMA 2020 guidelines, we searched five databases from inception to May 5, 2025, for studies evaluating interventions for MBDP in preterm infants (<37 weeks or <1500g). Primary outcomes included MBDP incidence, bone mineral density, and safety profiles. Random-effects meta-analyses, trial sequential analysis (TSA), and GRADE assessments were conducted. RESULTS: Eighteen studies (1577 infants) from ten countries met inclusion criteria. Nutritional prophylaxis significantly reduced MBDP incidence by 54 % (risk ratio [RR] = 0.46, 95 % confidence interval [CI] 0.30-0.68, P-value<0.001), with early calcium/phosphorus supplementation achieving 74-84 % risk reduction. TSA confirmed conclusive evidence, with cumulative Z-score (-5.99) crossing the O'Brien-Fleming boundary at 270.9 % of required information size. Number needed to treat was five at 40 % baseline risk. Mechanical interventions improved bone mineral content by 28 % (P-value<0.01), quantitative ultrasound speed-of-sound (mean difference [MD] = 75.3 m/s, 95 % CI 45.2-105.4), and weight gain (MD = 5.11 g/kg/day, 95 % CI 3.95-6.27). Both interventions demonstrated favorable safety profiles, with mechanical protocols reporting no adverse events. CONCLUSIONS: Nutritional prophylaxis conclusively reduces MBDP incidence, while mechanical interventions effectively improve bone mineralization. Although no studies directly evaluated combined approaches, the complementary mechanisms of nutritional and mechanical interventions suggest that optimal prevention may involve integrating both strategies. Critical gaps persist in orthopedic management, necessitating future research on fracture protocols and surgical interventions.",
41625548,10.3389/fnhum.2025.1721182,"Anodal tDCS combined with exercise provides a modest but significant additional reduction in pain intensity for CLBP. Longer intervention duration may enhance functional outcomes. Clinical significance should be interpreted cautiously. Larger, well-designed trials are needed to confirm these findings and optimize stimulation parameters. SYSTEMATIC REVIEW REGISTRATION: https://www.crd.york.ac.uk/PROSPERO/view/CRD420251151315, identifier CRD420251151315.","Five RCTs (n = 195) were included. For pain intensity (4 studies, n = 173), tDCS showed a significant additive effect (WMD = -0.99, 95% CI: -1.68 to -0.31, p = 0.006, I (2) = 60.1%). For physical function (five studies, n = 195), the effect was favorable but non-significant (SMD = -0.65, 95% CI: -1.87 to 0.57, p = 0.28, I (2) = 90.7%). Meta-regression indicated intervention duration significantly moderated functional outcomes (beta = 0.56, p < 0.001). GRADE certainty was moderate for pain and low for function.","BACKGROUND: Chronic low-back pain (CLBP) is a leading cause of disability, with current treatments offering only modest benefits. Transcranial direct-current stimulation (tDCS) may enhance exercise therapy by modulating cortical excitability and pain-inhibitory pathways. This systematic review and meta-analysis quantified the additive effect of combining tDCS with structured exercise in adults with CLBP. METHODS: We searched PubMed, Web of Science, CENTRAL, Embase, and CNKI up to 25 September 2025. Randomized controlled trials (RCTs) comparing active tDCS plus identical exercise therapy vs. sham tDCS plus the same exercise in adults with CLBP (>/= 12 weeks) were included. Risk of bias was assessed using Cochrane RoB 2.0. Weighted mean difference (WMD) and standardized mean difference (SMD) were calculated for pain and function, respectively.GRADE was used to assess certainty. RESULTS: Five RCTs (n = 195) were included. For pain intensity (4 studies, n = 173), tDCS showed a significant additive effect (WMD = -0.99, 95% CI: -1.68 to -0.31, p = 0.006, I (2) = 60.1%). For physical function (five studies, n = 195), the effect was favorable but non-significant (SMD = -0.65, 95% CI: -1.87 to 0.57, p = 0.28, I (2) = 90.7%). Meta-regression indicated intervention duration significantly moderated functional outcomes (beta = 0.56, p < 0.001). GRADE certainty was moderate for pain and low for function. CONCLUSION: Anodal tDCS combined with exercise provides a modest but significant additional reduction in pain intensity for CLBP. Longer intervention duration may enhance functional outcomes. Clinical significance should be interpreted cautiously. Larger, well-designed trials are needed to confirm these findings and optimize stimulation parameters. SYSTEMATIC REVIEW REGISTRATION: https://www.crd.york.ac.uk/PROSPERO/view/CRD420251151315, identifier CRD420251151315.",
41625538,10.3389/fsurg.2025.1731485,Early catheter removal after robotic radical prostatectomy appears both safe and feasible in appropriate selected patients and may accelerate continence recovery without compromising long-term outcomes. Catheter removal on postoperative days 3-4 appears to offer the most favora.,"Thirteen studies involving 4.055 patients met inclusion criteria, including three randomized controlled trials. Early catheter removal was variably defined, most commonly between 1 and 4 post operative days. Across studies early removal was not associated with increased rates of anastomotic leakage, urethral stricture or bladder neck contracture. Continence recovery seams to be occur earlier with early removal although higher short term urinary retention rates were reported. Overall complications and readmission rates were low. Study quality was acceptable despite the limited evidence from high quality randomized studies.","BACKGROUND: Robotic Radical Prostatectomy has become the dominant surgical approach for localized prostate cancer, offering offers many advantages in postoperative recovery and quality of life. Despite these advances, the standard duration of urethral catheterization- typically 7 days- has remained largely unchanged. OBJECTIVE: To systematically evaluate the feasibility and safety of early urethral catheter removal after robotic radical prostatectomy and to identify the optimal timing for catheter removal. METHODS: A systematic review was conducted according to PRISMA guidelines. PubMed, Web of Science, Cochrane Library, Google Scholar and Scopus databases were searched from inception to August 2025. Case reports, non robotic studies and non English publications were excluded Study quality was assessed using the Newcastle-Ottawa Scale for non randomized studies and the Jadad scale for randomized controlled trials. RESULTS: Thirteen studies involving 4.055 patients met inclusion criteria, including three randomized controlled trials. Early catheter removal was variably defined, most commonly between 1 and 4 post operative days. Across studies early removal was not associated with increased rates of anastomotic leakage, urethral stricture or bladder neck contracture. Continence recovery seams to be occur earlier with early removal although higher short term urinary retention rates were reported. Overall complications and readmission rates were low. Study quality was acceptable despite the limited evidence from high quality randomized studies. CONCLUSIONS: Early catheter removal after robotic radical prostatectomy appears both safe and feasible in appropriate selected patients and may accelerate continence recovery without compromising long-term outcomes. Catheter removal on postoperative days 3-4 appears to offer the most favora.",
41625535,10.3389/fsurg.2025.1731596,"For internal fixation of comminuted radial head and neck fractures with no more than three displaced fragments, both HCS and RLP achieved good outcomes. However, the RLP increased the incidence of complications and re-operation associated with internal fixation compared to HCS.","All patients were followed up for an average of 66.4 months (range, 20-135 months). One patient in each group underwent radial head replacement due to non-union, while the remaining patients achieved bone union. There was no statistically significant difference in the clinical outcomes between the two groups (p > 0.0023). Additionally, the re-operation rate due to symptomatic hardware was significantly higher in the RLP group (28.3%) than that in the HCS group (2.6%, p = 0.002).","BACKGROUND: This retrospective study aimed to compare the efficacy of internal fixation using headless compression screws (HCS) and radial head locking plate (RLP) for comminuted radial head and neck fractures with no more than 3 displaced fragments. METHODS: This retrospective study included 84 patients with radial head and neck fractures treated at Peking University Third Hospital between January 2013 and December 2022, with 38 and 46 patients in the HCS and RLP groups, respectively. The main outcome was the comparison of complications between the two groups. Demographic data, pre-operative time (POT), operation time (OT), and hospital stay time (HST) were also recorded. The Mayo Elbow Performance Score (MEPS), range of movement of the elbow and forearm, and reasons for re-operation were compared between the two groups. RESULTS: All patients were followed up for an average of 66.4 months (range, 20-135 months). One patient in each group underwent radial head replacement due to non-union, while the remaining patients achieved bone union. There was no statistically significant difference in the clinical outcomes between the two groups (p > 0.0023). Additionally, the re-operation rate due to symptomatic hardware was significantly higher in the RLP group (28.3%) than that in the HCS group (2.6%, p = 0.002). CONCLUSION: For internal fixation of comminuted radial head and neck fractures with no more than three displaced fragments, both HCS and RLP achieved good outcomes. However, the RLP increased the incidence of complications and re-operation associated with internal fixation compared to HCS.",
41625533,10.3389/fsurg.2025.1722354,"This finite element analysis demonstrated that the NHLP provides fracture stability while reducing peak implant stress under physiological loading. These findings support the biomechanical feasibility of its pes anserinus-sparing design, providing a strong rationale for further investigation.","Under physiological loading, the NHLP construct demonstrated the lowest peak von Mises stress on the implant. At the high axial load of 2,500 N, the peak stress on the NHLP (159.8 MPa) was 15% lower than that on the TTLP (188.1 MPa) and 35% lower than that on the DRLP (245.5 MPa). In the ""worst-case"" scenario, all constructs exhibited high safety factors. In terms of stability, the NHLP provided displacement comparable to that of the TTLP, and both were substantially more stable than the DRLP construct, which exhibited the largest displacement under high load. Paradoxically, the DRLP construct consistently resulted in the highest degree of implant stress and the least stability. At the fracture interface, the NHLP maintained a stable environment across all loads, with key metrics remaining within a range conducive to bone healing.","BACKGROUND: Surgical fixation for Schatzker IV tibial plateau fractures presents a clinical dilemma: achieving robust stability while avoiding impingement on the pes anserinus tendons. This study evaluated the biomechanical profile of a novel hockey-stick locking plate (NHLP), which is anatomically contoured to address this challenge by being placed anteriorly. METHODS: A finite element model of a standardized Schatzker IV fracture was created. Three fixation methods were simulated: the novel hockey-stick locking plate (NHLP), the traditional T-shaped locking plate (TTLP), and the double reconstruction locking plates (DRLP). The models were subjected to four loading conditions: three physiological loads, a low axial load (500 N), a moderate combined load (1,500 N axial compression plus 150 N anterior shear force), and a high axial load (2,500 N) and a fourth ""worst-case"" load scenario combining a 1,700 N axial force, a 200 N anterior shear force, and a 10 degrees  varus tilt. Key biomechanical metrics, including implant stress, construct stability, fragment displacement, fracture interface mechanics and fatigue safety factor, were analyzed. RESULTS: Under physiological loading, the NHLP construct demonstrated the lowest peak von Mises stress on the implant. At the high axial load of 2,500 N, the peak stress on the NHLP (159.8 MPa) was 15% lower than that on the TTLP (188.1 MPa) and 35% lower than that on the DRLP (245.5 MPa). In the ""worst-case"" scenario, all constructs exhibited high safety factors. In terms of stability, the NHLP provided displacement comparable to that of the TTLP, and both were substantially more stable than the DRLP construct, which exhibited the largest displacement under high load. Paradoxically, the DRLP construct consistently resulted in the highest degree of implant stress and the least stability. At the fracture interface, the NHLP maintained a stable environment across all loads, with key metrics remaining within a range conducive to bone healing. CONCLUSION: This finite element analysis demonstrated that the NHLP provides fracture stability while reducing peak implant stress under physiological loading. These findings support the biomechanical feasibility of its pes anserinus-sparing design, providing a strong rationale for further investigation.",
41625527,10.3389/finsc.2025.1743217,"These findings highlight feeding status as a critical determinant of insecticide efficacy. Pre-treatment starvation or natural food scarcity can enhance chemical performance, reduce insecticide use, and improve integrated pest management (IPM) strategies. The study also emphasizes the need for further research to elucidate the physiological mechanisms linking nutrition, detoxification, and insecticide susceptibility in RPW."" and confirmed as accurate.","Starvation significantly increased mortality, particularly in larvae, which were consistently more vulnerable than adults. Voliam Flexi achieved complete mortality under both conditions, whereas Coragen, Cyprone, and Indocarb caused full larval mortality only under starvation at the highest dose. In adults, 100% mortality with Medprid, Sivanto, Fiprol, and Deciban occurred only in starved insects. Feeding reduced insecticide toxicity, likely via enhanced detoxification or dilution of toxins through ingested sap, as indicated by lower LC(5)(0) values in unfed insects for Sivanto, Coragen, Fedothrin, and Lamdoc. DISCUSSION/","INTRODUCTION: Over the last four decades, the red palm weevil (RPW), Rhynchophorus ferrugineus, has emerged as one of the most destructive pests of date and ornamental palms worldwide, causing major economic losses, with insecticide susceptibility strongly influenced by nutritional status. METHODS: This study assessed how feeding versus starvation affects the sensitivity of RPW larvae and adults to ten commonly used insecticides at three dose levels ((1/2)x, 1x, and 2x of the recommended rate). Mortality rates were recorded and compared between fed and unfed insects. RESULTS: Starvation significantly increased mortality, particularly in larvae, which were consistently more vulnerable than adults. Voliam Flexi achieved complete mortality under both conditions, whereas Coragen, Cyprone, and Indocarb caused full larval mortality only under starvation at the highest dose. In adults, 100% mortality with Medprid, Sivanto, Fiprol, and Deciban occurred only in starved insects. Feeding reduced insecticide toxicity, likely via enhanced detoxification or dilution of toxins through ingested sap, as indicated by lower LC(5)(0) values in unfed insects for Sivanto, Coragen, Fedothrin, and Lamdoc. DISCUSSION/CONCLUSION: These findings highlight feeding status as a critical determinant of insecticide efficacy. Pre-treatment starvation or natural food scarcity can enhance chemical performance, reduce insecticide use, and improve integrated pest management (IPM) strategies. The study also emphasizes the need for further research to elucidate the physiological mechanisms linking nutrition, detoxification, and insecticide susceptibility in RPW."" and confirmed as accurate.",
41625517,10.1177/17511437261416698,This qualitative study demonstrated the impact and role of mobilisation interventions going beyond the patients' physical recovery from critical illness. These findings support current best practice recommendations for the implementation of early mobilisation interventions in ICUs.,"Six main themes were identified: (1). The vivid reality and isolation of delirium, (2). Loss of control, (3). Delirium as a barrier to mobilisation, (4). The role of different methods of mobilisation (5). Facilitating mobilisation and recovery of self, and (6). Grounded back into reality.","BACKGROUND: The intensive care unit (ICU) may be described as a 'deliriogenic' environment. Critically ill patients diagnosed with delirium are at increased risk of long-term cognitive impairment and hospital mortality. Best practice guidelines recommend early mobilisation interventions to manage and prevent delirium in ICUs. However, evidence evaluating the impact and role of early mobilisation upon delirium in ICUs from the patient perspective is lacking. The aim of this study was to understand the experience of early mobilisation from the perspective of patients diagnosed with delirium in the ICU. METHODS: This qualitative study adopted a phenomenological approach. One focus group including three participants and seven semi-structured one-to-one interviews were conducted with patients previously diagnosed with delirium in the ICU. Data were analysed using Braun and Clarke's thematic analysis. Face validity of findings was reviewed by a public representative on the research team. RESULTS: Six main themes were identified: (1). The vivid reality and isolation of delirium, (2). Loss of control, (3). Delirium as a barrier to mobilisation, (4). The role of different methods of mobilisation (5). Facilitating mobilisation and recovery of self, and (6). Grounded back into reality. CONCLUSION: This qualitative study demonstrated the impact and role of mobilisation interventions going beyond the patients' physical recovery from critical illness. These findings support current best practice recommendations for the implementation of early mobilisation interventions in ICUs.",
41625509,10.1177/23259671251405430,"Under a standardized diagnostic-therapeutic algorithm, both athletes and nonathletes with GPS demonstrated significant improvement. Surgery, particularly robotic TAPP mesh repair, significantly improved outcomes in nonathletes. These findings extend GPS management beyond the elite, young, male athlete.","A total of 250 patients with GPS were evaluated, including 75 athletes and 175 nonathletes, with a median symptom duration of 13 months. Overall, 202 patients (80.8%) were treated surgically, and 247 patients (98.8%) achieved either complete (n = 154, 61.6%) or partial (n = 93, 37.2%) resolution of symptoms. Athletes demonstrated lower odds of residual pain than nonathletes (odds ratio [OR], 0.276; 95% CI, 0.098-0.778; P = .015). Surgery demonstrated lower odds of residual pain than no surgery (OR, 0.248; 95% CI, 0.100-0.614; P = .003), which remained significant only in the nonathlete subgroup analysis (OR, 0.164; 95% CI, 0.058-0.464; P < .001). Furthermore, the effect of surgery on residual pain was significantly modified by athletic status (P = .034). Robotic transabdominal preperitoneal (TAPP) mesh repair demonstrated higher odds of complete resolution (OR, 5.413; 95% CI, 1.837-15.949; P = .002) and lower odds of residual pain (OR, 0.152; 95% CI, 0.053-0.439; P < .001) than no surgery. Combined mesh repair and adductor tenotomy demonstrated higher odds of complete resolution (OR, 8.435; 95% CI, 1.648-43.181; P = .010) than no surgery.","BACKGROUND: Groin pain syndrome (GPS) is a complex pathology of the pubic joint resulting from excessive torque on the pubic symphysis and surrounding structures. Although broadly recognized as a sports-related injury, GPS also affects nonathletes due to physical demands common in occupational labor or routine physical activity. Surgical management has demonstrated favorable outcomes in athletes, but its role in the general population remains uncertain. PURPOSE: (1) To compare surgical and nonsurgical outcomes in athletes versus nonathletes with GPS and (2) to compare outcomes between different surgical techniques for GPS. STUDY DESIGN: Cohort study; Level of evidence, 3. METHODS: Patients treated for GPS between December 2013 and August 2024 were included. All patients were diagnosed clinically by physical examination and treated using a standardized diagnostic-therapeutic algorithm. Complete symptom resolution and residual pain on physical examination were compared between athletes and nonathletes for surgical and nonsurgical treatment. All patients were followed until complete resolution or treatment completion and assessed for long-term complications. RESULTS: A total of 250 patients with GPS were evaluated, including 75 athletes and 175 nonathletes, with a median symptom duration of 13 months. Overall, 202 patients (80.8%) were treated surgically, and 247 patients (98.8%) achieved either complete (n = 154, 61.6%) or partial (n = 93, 37.2%) resolution of symptoms. Athletes demonstrated lower odds of residual pain than nonathletes (odds ratio [OR], 0.276; 95% CI, 0.098-0.778; P = .015). Surgery demonstrated lower odds of residual pain than no surgery (OR, 0.248; 95% CI, 0.100-0.614; P = .003), which remained significant only in the nonathlete subgroup analysis (OR, 0.164; 95% CI, 0.058-0.464; P < .001). Furthermore, the effect of surgery on residual pain was significantly modified by athletic status (P = .034). Robotic transabdominal preperitoneal (TAPP) mesh repair demonstrated higher odds of complete resolution (OR, 5.413; 95% CI, 1.837-15.949; P = .002) and lower odds of residual pain (OR, 0.152; 95% CI, 0.053-0.439; P < .001) than no surgery. Combined mesh repair and adductor tenotomy demonstrated higher odds of complete resolution (OR, 8.435; 95% CI, 1.648-43.181; P = .010) than no surgery. CONCLUSION: Under a standardized diagnostic-therapeutic algorithm, both athletes and nonathletes with GPS demonstrated significant improvement. Surgery, particularly robotic TAPP mesh repair, significantly improved outcomes in nonathletes. These findings extend GPS management beyond the elite, young, male athlete.",
